Algorithmus;ACC;AUC;SE;SP;TSS;TS;autor;;;;;;;
GA;87;;;;;;zhao 22;;;;;;;
RF;98.3;;;;;;zhao 22;;;;;;;
RF;98.1;;;;;;zhao 22;;;;;;;
RF;;0.91;0.8;0.85;0.65;0.45;roten 22;(unter der optimierung -> 80% der DB zu erhalten);;;;;;
RF;;0.93;0.8;0.92;0.72;0.53;roten 22;(unter der optimierung -> 80% der DB zu erhalten);;;;;;
NN;;0.88;0.8;0.8;0.6;0.37;roten 22;(unter der optimierung -> 80% der DB zu erhalten);;;;;;
NN;;0.92;0.8;0.87;0.67;0.54;roten 22;(unter der optimierung -> 80% der DB zu erhalten);;;;;;
BY;;0.82;;;;0.27;roten 22;;;;;;;
BY;;0.84;;;;0.31;roten 22;;;;;;;
NN;86.03;0.902;0.8025;0.9455;0.748;0.7738;tien bui 16;;;;;;;
NN;80.15;0.871;0.8154;0.7887;0.6041;0.6625;tien bui 16;;;;;;;
NN;93.83;;0.897;0.946;0.843;0.7;tung.chueng 06;;;;;;;
NN;99.74;;;;;;tung.chueng 07;;;;;;;
BY;83;0.94;0.72;;;;kern 2017;;;;;;;
BY;90;;;;;;zhao 22;;;;;;;
BY;88;;;;;;zhao 22;;;;;;;
BY;91;;;;;;Banihabib;;;;;;;
RF;;0.95;0.97;0.84;0.81;0.8064299154541043;hirschberg;;;;;;;
RF;;0.95;0.97;0.83;0.8;0.7978731556138305;hirschberg;;;;;;;
RF;;0.95;0.9;0.9;0.8;0.7956935232565071;hirschberg;;;;;;;
RF;;0.94;0.96;0.82;0.78;0.7732501213271917;hirschberg;;;;;;;
RF;;0.9;0.84;0.89;0.73;0.63;nikolooulus 18;;;;;;;
RF;;0.94;0.77;0.94;0.71;0.64;nikolooulus 18;;;;;;;
NN;92.5;0.9037;;;;;xu 22;;;;;;;
NN;94.94;;;;;;Chan chiun 10;;;;;;;
TS;;0.77;0.78;0.69;0.47;0.41;nikolooulus 18;;;;;NN;94.94;Chan chiun 10
TS;;0.79;0.8;0.62;0.42;0.37;roten 22;(unter der optimierung -> 80% der DB zu erhalten);;;;;;
TS;;;;;0.625;;leonadruzzi 2020;max intensity daily;;;;;;
TS;;;;;0.58;;leonadruzzi 2020;total rainfall daily;;;;;;
TS;;;;;0.625;;leonadruzzi 2020;mean intensity daily;;;;;;
TS;;;;;0.75;;leonadruzzi 2020;max intensity hourly;;;;;;
TS;;;;;0.67;;leonadruzzi 2020;total rainfall hourly;;;;;;
TS;;;;;0.76;;leonadruzzi 2020; mean intensity hourly;;;;;;
TS;;;;;0.65;;leonadruzzi 2020;max intensity daily;;norm;;;;
TS;;;;;0.6;;leonadruzzi 2020;total rainfall daily;;norm;;;;
TS;;;;;0.65;;leonadruzzi 2020;mean intensity daily;;norm;;;;
TS;;;;;0.77;;leonadruzzi 2020;max intensity hourly;;norm;;;;
TS;;;;;0.69;;leonadruzzi 2020;total rainfall hourly;;norm;;;;
TS;;;;;0.79;;leonadruzzi 2020; mean intensity hourly;;norm;;;;
TS;;;0.71;0.61;0.67;0.32;mirus 2018;p10s10;;;;;;
TS;;;0.64;0.7;0.62;0.34;mirus 2018;p5s10;;;;;;
TS;;;0.71;0.73;0.69;0.44;mirus 2018;p3s1;;;;;;
TS;;;0.82;0.43;0.76;0.25;mirus 2018;p10s10;;;;;;
TS;;;0.88;0.27;0.75;0.15;mirus 2018;p5S10;;;;;;
TS;;;0.94;0.24;0.83;0.18;mirus 2018;p2S9;;;;;;
TS;;0.933495671;0.925373134;0.836851112;0.762224247;0.762224247;hirschberg;optimized with linear regression!!!!!;;;;;;
TS;79.58;0.84;0.72;0.84;0.56;0.566666;giannecchini 15;ID (Unter der Verwendung von 40% wahrscheinlichkeit -> beste skill score);;;;;;
TS;79;0.84;0.72;0.83;0.55;0.56;giannecchini 15;ED ((Unter der Verwendung von 40% wahrscheinlichkeit -> beste skill score));;;;;;
TS;79;0.87;0.72;0.83;0.55;0.56;giannecchini 15;Emap ((Unter der Verwendung von 40% wahrscheinlichkeit -> beste skill score);;;;;;
TS;95,6;;;;;;zhao 22;;;;;;;
